当前为第1条语料。
沙 B-LOC
石 O
脉 O
, O
矿 O
体 O
贫 O
化 O
转 O
移 O
再 O
富 O
集 O
, O
切 O
错 O
矿 O
体 O
, O
错 O
距 O
很 O
小 O
, O
对 O
矿 O
体 O
破 O
坏 O
不 O
大 O
。 O
﻿

当前为第31条语料，且该条语料无标注实体。
印 O
支 O
期 O
糜 O
署 O
岭 O
花 O
岗 O
闪 O
长 O
岩 O
基 O
的 O
南 O
缘 O
已 O
侵 O
入 O
到 O
矿 O
区 O
北 O
部 O
, O
岩 O
体 O
边 O
界 O
呈 O
凹 O
凸 O
状 O
超 O
覆 O
在 O
含 O
矿 O
岩 O
层 O
之 O
上 O
, O
接 O
触 O
带 O
具 O
有 O
侵 O
入 O
迭 O
加 O
断 O
裂 O
( O
F O
1 O
) O
活 O
动 O
的 O
复 O
合 O
特 O
征 O
, O
使 O
得 O
含 O
矿 O
层 O
的 O
成 O
矿 O
组 O
分 O
在 O
岩 O
浆 O
热 O
液 O
和 O
动 O
力 O
热 O
液 O
的 O
双 O
重 O
作 O
用 O
下 O
进 O
行 O
活 O
化 O
、 O
迁 O
移 O
、 O
贯 O
入 O
, O
并 O
与 O
先 O
期 O
活 O
动 O
的 O
其 O
它 O
成 O
矿 O
流 O
体 O
混 O
合 O
, O
在 O
合 O
适 O
的 O
物 O
理 O
化 O
学 O
条 O
件 O
下 O
, O
在 O
构 O
造 O
有 O
利 O
部 O
位 O
沉 O
淀 O
富 O
集 O
。 O
﻿

当前为第32条语料。
综 O
上 O
所 O
述 O
, O
沙 B-LOC
沟 I-LOC
金 B-MT
矿 I-MT
具 O
备 O
了 O
地 O
层 O
、 O
构 O
造 O
、 O
岩 O
浆 O
岩 O
“ O
三 O
位 O
一 O
体 O
” O
的 O
控 O
矿 O
机 O
制 O
。 O
中 O
泥 O
盆 O
统 O
西 O
汉 O
水 O
组 O
第 O
六 O
岩 O
性 O
段 O
为 O
矿 O
源 O
层 O
, O
是 O
含 O
矿 O
热 O
液 O
形 O
成 O
的 O
物 O
质 O
基 O
础 O
。 O
黄 O
渚 O
关 O
断 O
裂 O
( O
F O
1 O
) O
和 O
洛 O
坝 O
背 O
斜 O
是 O
最 O
重 O
要 O
的 O
控 O
矿 O
构 O
造 O
, O
为 O
矿 O
源 O
运 O
移 O
和 O
矿 O
质 O
沉 O
淀 O
提 O
供 O
了 O
通 O
道 O
和 O
富 O
集 O
空 O
间 O
。 O
﻿
﻿

当前为第33条语料，且该条语料无标注实体。
印 O
支 O
期 O
中 O
酸 O
性 O
岩 O
浆 O
活 O
动 O
为 O
金 O
的 O
进 O
一 O
步 O
活 O
化 O
迁 O
移 O
提 O
供 O
了 O
动 O
力 O
和 O
热 O
源 O
, O
是 O
成 O
矿 O
的 O
决 O
定 O
因 O
素 O
。 O
﻿

当前为第34条语料，且该条语料无标注实体。
⑴ O
矿 O
区 O
东 O
端 O
5 O
线 O
至 O
1 O
0 O
线 O
地 O
表 O
零 O
星 O
出 O
露 O
氧 O
化 O
铁 O
帽 O
, O
与 O
化 O
探 O
异 O
常 O
晕 O
的 O
分 O
布 O
相 O
吻 O
合 O
, O
也 O
是 O
含 O
矿 O
层 O
广 O
泛 O
分 O
布 O
的 O
区 O
域 O
, O
表 O
明 O
深 O
部 O
有 O
较 O
好 O
的 O
找 O
矿 O
前 O
景 O
。 O
﻿

当前为第35条语料，且该条语料无标注实体。
⑵ O
洛 O
坝 O
背 O
斜 O
核 O
部 O
在 O
矿 O
区 O
内 O
金 O
矿 O
化 O
点 O
分 O
布 O
较 O
多 O
, O
但 O
大 O
矿 O
体 O
少 O
, O
沿 O
褶 O
曲 O
轴 O
线 O
展 O
布 O
方 O
向 O
, O
到 O
矿 O
区 O
东 O
部 O
外 O
围 O
进 O
行 O
找 O
矿 O
。 O
﻿

当前为第36条语料。
⑶ O
区 O
域 O
构 O
造 O
黄 O
渚 O
关 O
断 O
裂 O
的 O
分 O
枝 O
断 O
裂 O
F O
2 O
在 O
矿 O
区 O
内 O
是 O
重 O
要 O
的 O
赋 O
矿 O
构 O
造 O
, O
发 O
现 O
了 O
数 O
条 O
金 O
矿 O
体 O
和 O
铅 O
、 O
锌 O
矿 O
产 O
, O
说 O
明 O
多 O
期 O
次 O
活 O
动 O
及 O
张 O
扭 O
性 O
断 O
裂 O
活 O
动 O
区 O
域 O
, O
如 O
产 O
状 O
由 O
缓 O
变 O
陡 O
的 O
部 O
位 O
同 O
样 O
有 O
形 O
成 O
矿 O
体 O
的 O
可 O
能 O
, O
有 O
一 O
定 O
的 O
找 O
矿 O
潜 O
力 O
。 O
⑷ O
深 O
部 O
层 O
间 O
破 O
碎 O
带 O
, O
大 O
多 O
规 O
模 O
较 O
小 O
, O
但 O
也 O
经 O
历 O
了 O
多 O
次 O
构 O
造 O
活 O
动 O
, O
也 O
有 O
利 O
于 O
含 O
矿 O
热 O
液 O
局 O
部 O
富 O
集 O
和 O
沉 O
淀 O
, O
目 O
前 O
已 O
发 O
现 O
品 O
位 O
较 O
高 O
的 O
小 O
矿 O
体 O
, O
应 O
加 O
强 O
找 O
矿 O
力 O
度 O
, O
注 O
重 O
研 O
究 O
。 O
徽 O
县 O
沙 B-LOC
沟 I-LOC
金 B-MT
矿 I-MT
成 O
矿 O
地 O
质 O
条 O
件 O
及 O
找 O
矿 O
方 O
向 O
。 O
