当前为第1条语料。
鸡 B-LOC
当前为第64条语料。
( O
2 O
) O
Ⅱ B-MB
、 I-MB
Ⅲ I-MB
号 I-MB
矿 I-MB
体 I-MB
主 O
要 O
与 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
有 O
关 O
。 O
﻿

当前为第65条语料。
Ⅱ B-MB
号 I-MB
矿 I-MB
体 I-MB
赋 O
存 O
于 O
隐 O
伏 O
的 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
岩 O
株 O
体 O
的 O
上 O
盘 O
大 O
冶 O
群 O
第 O
七 O
岩 O
性 O
段 O
大 O
理 O
岩 O
与 O
白 O
云 O
质 O
大 O
理 O
岩 O
的 O
层 O
间 O
破 O
碎 O
带 O
。 O
﻿
﻿

当前为第66条语料。
Ⅲ B-MB
号 I-MB
矿 I-MB
体 I-MB
( O
群 O
) O
赋 O
存 O
于 O
第 O
七 O
岩 O
性 O
段 O
大 O
理 O
岩 O
和 O
白 O
云 O
质 O
大 O
理 O
岩 O
层 O
间 O
破 O
碎 O
带 O
及 O
其 O
与 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
的 O
接 O
触 O
带 O
内 O
。 O
﻿

当前为第67条语料，且该条语料无标注实体。
( O
3 O
) O
和 O
矿 O
区 O
其 O
它 O
期 O
次 O
的 O
岩 O
浆 O
岩 O
相 O
比 O
较 O
, O
石 O
英 O
闪 O
长 O
岩 O
和 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
均 O
属 O
燕 O
山 O
早 O
期 O
第 O
三 O
次 O
的 O
侵 O
入 O
活 O
动 O
的 O
产 O
物 O
, O
属 O
中 O
酸 O
性 O
岩 O
浆 O
岩 O
。 O
﻿

当前为第68条语料，且该条语料无标注实体。
其 O
微 O
量 O
元 O
素 O
特 O
征 O
明 O
显 O
表 O
现 O
为 O
亲 O
铜 O
元 O
素 O
C O
u O
、 O
A O
g O
都 O
偏 O
高 O
, O
其 O
中 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
铜 O
的 O
平 O
均 O
含 O
量 O
为 O
7 O
4 O
× O
1 O
0 O
- O
6 O
, O
较 O
维 O
氏 O
值 O
高 O
2 O
倍 O
, O
亲 O
石 O
元 O
素 O
则 O
偏 O
低 O
。 O
﻿

当前为第69条语料，且该条语料无标注实体。
亲 O
铜 O
元 O
素 O
偏 O
高 O
则 O
岩 O
浆 O
活 O
动 O
在 O
适 O
宜 O
的 O
成 O
矿 O
条 O
件 O
下 O
, O
更 O
容 O
易 O
产 O
生 O
铜 O
金 O
矿 O
化 O
。 O
﻿

当前为第70条语料，且该条语料无标注实体。
4 O
矿 O
体 O
和 O
构 O
造 O
间 O
的 O
关 O
系 O
如 O
前 O
所 O
述 O
: O
矿 O
区 O
构 O
造 O
由 O
4 O
个 O
隐 O
伏 O
背 O
向 O
斜 O
和 O
4 O
条 O
断 O
裂 O
破 O
碎 O
带 O
所 O
组 O
成 O
。 O
﻿

当前为第71条语料，且该条语料无标注实体。
其 O
中 O
北 O
北 O
东 O
向 O
隐 O
伏 O
背 O
斜 O
为 O
矿 O
区 O
主 O
体 O
构 O
造 O
, O
横 O
跨 O
叠 O
置 O
于 O
3 O
个 O
北 O
西 O
向 O
隐 O
伏 O
背 O
向 O
斜 O
褶 O
曲 O
之 O
上 O
。 O
﻿

当前为第72条语料，且该条语料无标注实体。
而 O
北 O
北 O
东 O
和 O
北 O
东 O
向 O
断 O
裂 O
均 O
以 O
破 O
碎 O
带 O
形 O
式 O
出 O
现 O
, O
具 O
多 O
期 O
活 O
动 O
特 O
点 O
。 O
﻿

当前为第73条语料。
( O
1 O
) O
矿 O
体 O
和 O
向 O
背 O
斜 O
关 O
系 O
。 O
各 O
矿 O
体 O
分 O
布 O
在 O
北 O
北 O
东 O
向 O
横 O
跨 O
背 O
斜 O
的 O
两 O
翼 O
: O
Ⅰ B-MB
、 O
Ⅱ B-MB
、 O
Ⅲ B-MB
号 I-MB
矿 I-MB
体 I-MB
( O
群 O
) O
赋 O
存 O
在 O
该 O
背 O
斜 O
的 O
北 O
西 O
翼 O
的 O
同 O
一 O
个 O
较 O
大 O
的 O
含 O
矿 O
大 O
理 O
岩 O
捕 O
虏 O
体 O
内 O
, O
其 O
空 O
间 O
展 O
布 O
为 O
在 O
纵 O
向 O
上 O
表 O
现 O
为 O
自 O
北 O
向 O
南 O
, O
由 O
浅 O
而 O
深 O
侧 O
列 O
。 O
在 O
横 O
向 O
上 O
呈 O
雁 O
行 O
式 O
斜 O
列 O
。 O
﻿

当前为第74条语料。
Ⅳ B-MB
号 I-MB
矿 I-MB
体 I-MB
( O
群 O
) O
赋 O
存 O
予 O
该 O
背 O
斜 O
南 O
东 O
翼 O
的 O
另 O
一 O
个 O
较 O
小 O
的 O
含 O
矿 O
大 O
理 O
岩 O
捕 O
虏 O
体 O
内 O
。 O
各 O
矿 O
体 O
呈 O
雁 O
行 O
排 O
列 O
。 O
( O
2 O
) O
矿 O
体 O
与 O
断 O
裂 O
构 O
造 O
的 O
关 O
系 O
。 O
﻿

当前为第75条语料，且该条语料无标注实体。
矿 O
体 O
( O
群 O
) O
明 O
显 O
受 O
接 O
触 O
带 O
和 O
三 O
叠 O
系 O
下 O
统 O
大 O
冶 O
群 O
碳 O
酸 O
盐 O
岩 O
的 O
层 O
间 O
破 O
碎 O
带 O
以 O
及 O
岩 O
体 O
内 O
的 O
构 O
造 O
破 O
碎 O
带 O
控 O
制 O
。 O
﻿

当前为第76条语料。
其 O
中 O
Ⅰ B-MB
号 I-MB
矿 I-MB
体 I-MB
群 O
受 O
石 O
英 O
闪 O
长 O
岩 O
与 O
大 O
理 O
岩 O
的 O
接 O
触 O
带 O
及 O
其 O
上 O
下 O
的 O
层 O
间 O
破 O
碎 O
带 O
和 O
构 O
造 O
破 O
碎 O
带 O
控 O
制 O
。 O
﻿

当前为第77条语料。
Ⅱ B-MB
号 I-MB
矿 I-MB
体 I-MB
( O
群 O
) O
赋 O
存 O
于 O
隐 O
伏 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
岩 O
株 O
( O
体 O
) O
上 O
盘 O
接 O
触 O
带 O
外 O
侧 O
的 O
大 O
理 O
岩 O
和 O
白 O
云 O
质 O
大 O
理 O
岩 O
的 O
层 O
间 O
破 O
碎 O
带 O
或 O
裂 O
隙 O
带 O
。 O
﻿

当前为第78条语料。
Ⅲ B-MB
号 I-MB
矿 I-MB
体 I-MB
( O
群 O
) O
则 O
赋 O
存 O
于 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
岩 O
株 O
体 O
下 O
盘 O
的 O
白 O
云 O
质 O
大 O
理 O
岩 O
和 O
白 O
云 O
石 O
大 O
理 O
岩 O
的 O
层 O
间 O
破 O
碎 O
带 O
( O
或 O
裂 O
隙 O
带 O
) O
及 O
其 O
与 O
外 O
侧 O
的 O
闪 O
长 O
岩 O
的 O
接 O
触 O
带 O
。 O
Ⅳ B-MB
号 I-MB
矿 I-MB
体 I-MB
( O
群 O
) O
则 O
受 O
闪 O
长 O
岩 O
体 O
内 O
的 O
白 O
云 O
石 O
大 O
理 O
岩 O
的 O
层 O
间 O
破 O
碎 O
带 O
和 O
下 O
接 O
触 O
带 O
控 O
制 O
。 O
5 O
结 O
语 O
( O
1 O
) O
综 O
上 O
所 O
述 O
: O
鸡 B-LOC
冠 I-LOC
嘴 I-LOC
矿 I-LOC
床 I-LOC
属 O
于 O
燕 O
山 O
早 O
期 O
岩 O
浆 O
活 O
动 O
开 O
始 O
形 O
成 O
的 O
接 O
触 O
变 O
质 O
类 O
型 O
的 O
含 O
金 B-MT
、 O
铜 B-MT
、 O
硫 B-MT
、 O
铁 B-MT
等 O
多 O
种 O
有 O
益 O
成 O
分 O
的 O
多 B-MT
金 I-MT
属 I-MT
共 I-MT
生 I-MT
矿 I-MT
床 I-MT
。 O
﻿

当前为第79条语料。
矿 O
石 O
类 O
型 O
为 O
铜 O
金 O
矿 O
石 O
、 O
铜 O
矿 O
石 O
、 O
金 O
铁 O
矿 O
石 O
、 O
硫 O
铁 O
矿 O
石 O
、 O
金 O
矿 O
石 O
、 O
铁 O
矿 O
石 O
等 O
, O
品 O
位 O
变 O
化 O
系 O
数 O
为 O
C O
u O
8 O
8 O
% O
、 O
A O
u O
1 O
1 O
9 O
% O
, O
围 O
岩 O
为 O
石 O
英 O
闪 O
长 O
岩 O
、 O
闪 O
长 O
岩 O
、 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
以 O
及 O
安 O
山 O
玢 O
岩 O
。 O
( O
2 O
) O
矿 O
床 O
成 O
矿 O
模 O
式 O
。 O
矿 O
区 O
在 O
燕 O
山 O
早 O
期 O
岩 O
浆 O
活 O
动 O
中 O
, O
在 O
富 O
亲 O
铜 O
元 O
素 O
的 O
岩 O
浆 O
岩 O
类 O
如 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
和 O
石 O
英 O
闪 O
长 O
岩 O
与 O
沉 O
积 O
地 O
层 O
接 O
触 O
带 O
以 O
及 O
构 O
造 O
运 O
动 O
形 O
成 O
的 O
各 O
种 O
层 O
间 O
裂 O
隙 O
带 O
和 O
构 O
造 O
破 O
碎 O
带 O
内 O
, O
由 O
于 O
各 O
种 O
物 O
化 O
条 O
件 O
( O
如 O
温 O
度 O
、 O
压 O
力 O
) O
的 O
变 O
化 O
, O
产 O
生 O
成 O
矿 O
热 O
液 O
的 O
迁 O
移 O
、 O
富 O
集 O
、 O
沉 O
淀 O
和 O
围 O
岩 O
蚀 O
变 O
多 O
期 O
次 O
各 O
种 O
成 O
矿 O
作 O
用 O
, O
从 O
而 O
形 O
成 O
了 O
鸡 B-LOC
冠 I-LOC
嘴 I-LOC
矿 I-LOC
床 I-LOC
。 O
﻿

当前为第80条语料，且该条语料无标注实体。
因 O
此 O
, O
矿 O
床 O
应 O
为 O
矽 O
卡 O
岩 O
型 O
隐 O
伏 O
矿 O
床 O
。 O
﻿

当前为第81条语料，且该条语料无标注实体。
( O
3 O
) O
根 O
据 O
矿 O
床 O
各 O
矿 O
体 O
( O
群 O
) O
的 O
特 O
征 O
分 O
析 O
, O
由 O
于 O
矿 O
体 O
数 O
量 O
众 O
多 O
, O
规 O
模 O
变 O
化 O
大 O
, O
矿 O
石 O
类 O
型 O
和 O
成 O
因 O
类 O
型 O
复 O
杂 O
, O
因 O
此 O
, O
矿 O
床 O
属 O
于 O
Ⅳ O
类 O
勘 O
探 O
类 O
型 O
。 O
﻿

当前为第82条语料，且该条语料无标注实体。
另 O
根 O
据 O
矿 O
床 O
的 O
开 O
采 O
期 O
的 O
涌 O
水 O
资 O
料 O
情 O
况 O
, O
矿 O
床 O
含 O
水 O
层 O
、 O
透 O
水 O
层 O
、 O
隔 O
水 O
层 O
和 O
各 O
种 O
构 O
造 O
裂 O
缝 O
的 O
水 O
文 O
资 O
料 O
分 O
析 O
, O
矿 O
床 O
的 O
的 O
水 O
文 O
地 O
质 O
条 O
件 O
属 O
中 O
等 O
偏 O
简 O
单 O
类 O
型 O
。 O
﻿

当前为第83条语料。
( O
4 O
) O
鸡 B-LOC
冠 I-LOC
嘴 I-LOC
矿 I-LOC
床 I-LOC
成 O
因 O
类 O
型 O
复 O
杂 O
, O
但 O
也 O
有 O
规 O
律 O
可 O
循 O
。 O
﻿

当前为第84条语料，且该条语料无标注实体。
成 O
矿 O
部 O
位 O
主 O
要 O
在 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
和 O
石 O
英 O
闪 O
长 O
岩 O
与 O
大 O
理 O
盐 O
岩 O
的 O
接 O
触 O
带 O
及 O
捕 O
虏 O
体 O
附 O
近 O
, O
受 O
北 O
北 O
东 O
向 O
主 O
横 O
跨 O
背 O
斜 O
控 O
制 O
, O
在 O
4 O
个 O
隐 O
伏 O
背 O
向 O
斜 O
的 O
两 O
翼 O
与 O
岩 O
浆 O
岩 O
的 O
接 O
触 O
带 O
, O
和 O
北 O
北 O
东 O
向 O
构 O
造 O
断 O
裂 O
带 O
附 O
近 O
都 O
是 O
成 O
矿 O
有 O
利 O
部 O
位 O
, O
矿 O
床 O
的 O
深 O
边 O
部 O
仍 O
有 O
寻 O
找 O
盲 O
矿 O
体 O
的 O
潜 O
力 O
。 O
